989, New Year's Eve
990, Legally Blonde
991, Garfield: A Tail of Two Kitties
992, Gothika
993, Bad Boys
994, Scary Movie 2
995, Thunderball
996, Shallow Hal
997, Evita
998, Animal House
999, The Devil's Own
